0	1145
0.1	7
0.2	12
0.3	3
0.4	9
0.5	5
0.6	14
0.7	1
0.8	13
0.9	3
100	4
101	1
102	2
103	2
104	1
105	6
106	2
108	8
109	2
1	790
110	19
1.1	2
111	3
112	11
113	1
114	4
115	6
116	2
117	2
118	8
120	40
1.2	17
121	1
122	8
123	3
124	7
125	18
126	8
127	1
128	13
129	2
130	40
1.3	1
131	5
132	15
133	2
134	6
135	6
136	5
137	1
138	16
139	2
140	38
1.4	13
141	4
142	9
143	7
144	9
145	9
146	6
147	5
148	5
149	4
150	24
1.5	5
151	4
152	13
153	3
154	6
155	5
156	7
157	6
158	6
159	4
160	21
1.6	11
161	5
162	11
163	9
164	4
165	6
166	4
167	2
168	6
169	7
170	9
171	4
172	9
173	8
174	7
175	6
176	1
177	5
178	8
179	5
180	6
1.8	10
181	2
182	6
183	1
184	2
185	2
186	3
187	2
188	3
190	1
1.9	5
192	4
193	2
194	1
195	2
196	2
197	6
198	2
199	3
200	2
201	3
202	1
203	3
204	6
205	2
206	2
207	2
208	2
209	2
2	446
210	1
2.1	1
211	4
212	5
213	2
214	2
215	1
216	2
217	1
218	2
219	3
220	3
2.2	4
221	2
222	2
223	3
224	1
225	2
226	4
227	2
228	2
229	3
230	3
2.3	2
231	3
232	2
233	4
234	6
235	2
236	3
237	1
239	4
240	4
2.4	3
241	1
242	1
243	4
244	3
245	3
246	3
247	2
248	2
249	3
250	3
2.5	2
252	1
253	2
254	5
255	2
256	3
257	1
258	3
259	1
260	2
2.6	6
261	2
262	1
263	3
264	2
265	2
266	2
267	2
268	2
269	5
270	2
271	2
273	2
274	3
275	2
276	1
277	2
278	1
2.8	6
281	1
282	4
283	3
284	1
286	2
288	3
289	2
290	1
2.9	1
29	1
293	1
294	2
295	2
298	2
299	2
300	1
302	2
303	3
304	2
305	1
306	1
307	1
308	2
309	3
3	165
3.1	1
311	1
313	1
315	2
318	2
319	1
3.2	2
321	1
322	1
325	2
326	1
327	1
330	2
335	2
340	1
3.4	3
34	2
341	1
342	1
3.5	1
35	4
353	1
354	1
360	1
3.6	4
37	2
3.8	1
38	3
39	4
394	1
40	3
407	1
409	1
4	8
41	10
417	1
4.2	2
42	8
43	8
4.4	1
44	11
45	8
46	7
47	5
48	7
49	5
50	7
51	12
52	13
53	8
54	16
55	8
5.6	1
56	11
564	1
57	17
58	19
59	14
60	11
61	8
6.2	1
62	11
63	9
64	10
65	8
66	7
67	9
68	4
69	3
70	4
71	4
74	1
76	1
77	1
88	1
90	1
94	2
95	1
96	2
97	1
99	1
﻿age	1
ca	1
chol	1
cp	1
exang	1
fbs	1
No	138
oldpeak	1
restecg	1
sex	1
slope	1
target	1
thal	1
thalach	1
trestbps	1
Yes	165
